Entity,Code,Day,Temperature anomaly
Brazil,BRA,1959-01-15,-0.6422787
Brazil,BRA,1959-02-15,-0.4719448
Brazil,BRA,1959-03-15,-0.9817982
Brazil,BRA,1959-04-15,-0.43263435
Brazil,BRA,1959-05-15,-0.7150135
Brazil,BRA,1959-06-15,-0.96406937
Brazil,BRA,1959-07-15,0.16148376
Brazil,BRA,1959-08-15,-0.17984009
Brazil,BRA,1959-09-15,0.28515434
Brazil,BRA,1959-10-15,0.11432266
Brazil,BRA,1959-11-15,-0.6381073
Brazil,BRA,1959-12-15,-0.42813492
Brazil,BRA,1960-01-15,-0.98699
Brazil,BRA,1960-02-15,-1.1981468
Brazil,BRA,1960-03-15,-1.3658504
Brazil,BRA,1960-04-15,-1.466568
Brazil,BRA,1960-05-15,-1.4634018
Brazil,BRA,1960-06-15,-0.4215145
Brazil,BRA,1960-07-15,-0.42097092
Brazil,BRA,1960-08-15,-0.030670166
Brazil,BRA,1960-09-15,0.0831604
Brazil,BRA,1960-10-15,-0.07089996
Brazil,BRA,1960-11-15,-0.48052406
Brazil,BRA,1960-12-15,-0.70119286
Brazil,BRA,1961-01-15,-0.4782009
Brazil,BRA,1961-02-15,-0.8353138
Brazil,BRA,1961-03-15,-0.55529594
Brazil,BRA,1961-04-15,-0.69511414
Brazil,BRA,1961-05-15,-0.44765472
Brazil,BRA,1961-06-15,-0.5725975
Brazil,BRA,1961-07-15,0.070466995
Brazil,BRA,1961-08-15,0.8914566
Brazil,BRA,1961-09-15,1.8566437
Brazil,BRA,1961-10-15,1.419239
Brazil,BRA,1961-11-15,0.06917
Brazil,BRA,1961-12-15,-1.1717892
Brazil,BRA,1962-01-15,-1.16148
Brazil,BRA,1962-02-15,-1.082468
Brazil,BRA,1962-03-15,-0.9254379
Brazil,BRA,1962-04-15,-1.0362949
Brazil,BRA,1962-05-15,-0.9531498
Brazil,BRA,1962-06-15,-1.3224392
Brazil,BRA,1962-07-15,-1.1640263
Brazil,BRA,1962-08-15,0.12825775
Brazil,BRA,1962-09-15,0.88469315
Brazil,BRA,1962-10-15,-0.7866688
Brazil,BRA,1962-11-15,-0.8002682
Brazil,BRA,1962-12-15,-0.9261513
Brazil,BRA,1963-01-15,-0.70817375
Brazil,BRA,1963-02-15,-1.2318668
Brazil,BRA,1963-03-15,-0.75891685
Brazil,BRA,1963-04-15,-1.0583439
Brazil,BRA,1963-05-15,-0.9886875
Brazil,BRA,1963-06-15,-0.6587982
Brazil,BRA,1963-07-15,-0.12825584
Brazil,BRA,1963-08-15,0.6469803
Brazil,BRA,1963-09-15,1.5334072
Brazil,BRA,1963-10-15,2.611454
Brazil,BRA,1963-11-15,0.29823494
Brazil,BRA,1963-12-15,-0.8895855
Brazil,BRA,1964-01-15,-0.90948296
Brazil,BRA,1964-02-15,-0.48519135
Brazil,BRA,1964-03-15,-0.9037819
Brazil,BRA,1964-04-15,-1.0777187
Brazil,BRA,1964-05-15,-1.3795433
Brazil,BRA,1964-06-15,-1.5133629
Brazil,BRA,1964-07-15,-1.0400963
Brazil,BRA,1964-08-15,-0.31956482
Brazil,BRA,1964-09-15,-0.43497467
Brazil,BRA,1964-10-15,-1.5993919
Brazil,BRA,1964-11-15,-1.1468735
Brazil,BRA,1964-12-15,-1.1363449
Brazil,BRA,1965-01-15,-0.9982834
Brazil,BRA,1965-02-15,-0.6507263
Brazil,BRA,1965-03-15,-1.5308189
Brazil,BRA,1965-04-15,-1.536026
Brazil,BRA,1965-05-15,-1.1622982
Brazil,BRA,1965-06-15,-0.78497887
Brazil,BRA,1965-07-15,-1.048624
Brazil,BRA,1965-08-15,-0.62565804
Brazil,BRA,1965-09-15,0.21475029
Brazil,BRA,1965-10-15,-0.47977638
Brazil,BRA,1965-11-15,-0.6016998
Brazil,BRA,1965-12-15,-0.5685501
Brazil,BRA,1966-01-15,-0.7253208
Brazil,BRA,1966-02-15,-0.8415394
Brazil,BRA,1966-03-15,-1.0247669
Brazil,BRA,1966-04-15,-1.1353359
Brazil,BRA,1966-05-15,-1.1009655
Brazil,BRA,1966-06-15,-0.9265137
Brazil,BRA,1966-07-15,-0.4748726
Brazil,BRA,1966-08-15,-0.62809944
Brazil,BRA,1966-09-15,-0.6596966
Brazil,BRA,1966-10-15,-0.43685913
Brazil,BRA,1966-11-15,-0.8945503
Brazil,BRA,1966-12-15,-0.8531704
Brazil,BRA,1967-01-15,-0.8880577
Brazil,BRA,1967-02-15,-0.9583969
Brazil,BRA,1967-03-15,-0.886116
Brazil,BRA,1967-04-15,-1.0028591
Brazil,BRA,1967-05-15,-0.56440735
Brazil,BRA,1967-06-15,-0.9407902
Brazil,BRA,1967-07-15,-0.718626
Brazil,BRA,1967-08-15,-0.48762894
Brazil,BRA,1967-09-15,-0.21811867
Brazil,BRA,1967-10-15,-0.45905113
Brazil,BRA,1967-11-15,-0.98147774
Brazil,BRA,1967-12-15,-0.93753624
Brazil,BRA,1968-01-15,-0.8483639
Brazil,BRA,1968-02-15,-1.1158142
Brazil,BRA,1968-03-15,-1.2874851
Brazil,BRA,1968-04-15,-1.54463
Brazil,BRA,1968-05-15,-2.0110474
Brazil,BRA,1968-06-15,-1.2638531
Brazil,BRA,1968-07-15,-0.67731094
Brazil,BRA,1968-08-15,-0.8920002
Brazil,BRA,1968-09-15,-1.4838009
Brazil,BRA,1968-10-15,-0.7626686
Brazil,BRA,1968-11-15,-0.46756363
Brazil,BRA,1968-12-15,-0.8800335
Brazil,BRA,1969-01-15,-0.43177414
Brazil,BRA,1969-02-15,0.03710556
Brazil,BRA,1969-03-15,-0.11421394
Brazil,BRA,1969-04-15,-0.15316963
Brazil,BRA,1969-05-15,-0.00062561035
